
"03131000-8","Rośliny wykorzystywane do produkcji napojów"
"03131100-9","Ziarna kawy"
"03131200-0","Krzewy herbaciane"
"03131300-1","Herbata paragwajska (Mate)"
"03131400-2","Ziarna kakao"
"03132000-5","Przyprawy nieprzetworzone"
"03140000-4","Produkty zwierzęce i podobne"
"03141000-1","Nasienie byków"
"03142000-8","Produkty zwierzęce"
"03142100-9","Miód naturalny"
"03142200-0","Ślimaki"
"03142300-1","Jadalne produkty pochodzenia zwierzęcego"
"03142400-2","Woski"
"03142500-3","Jaja"
"03143000-5","Produkty mieszanej gospodarki rolnej"
"03144000-2","Produkty rolne"
"03200000-3","Zboża, ziemniaki, warzywa, owoce i orzechy"
"03210000-6","Zboża i ziemniaki"
"03211000-3","Zboża"
"03211100-4","Pszenica"
"03211110-7","Pszenica durum"
"03211120-0","Pszenica zwykła"
"03211200-5","Kukurydza"
"03211300-6","Ryż"
"03211400-7","Jęczmień"
"03211500-8","Żyto"
"03211600-9","Owies"
"03211700-0","Słód"
"03211900-2","Produkty z ziaren"
"03212000-0","Ziemniaki i warzywa suszone"
"03212100-1","Ziemniaki"
"03212200-2","Warzywa strączkowe suszone, łuskane"
"03212210-5","Warzywa strączkowe suszone"
"03212211-2","Soczewica"
"03212212-9","Ciecierzyca"
"03212213-6","Groch suszony"
"03212220-8","Jadalne nasiona roślin strączkowych"
"03220000-9","Warzywa, owoce i orzechy"
"03221000-6","Warzywa"
"03221100-7","Warzywa korzeniowe i bulwiaste"
"03221110-0","Warzywa korzeniowe"
"03221111-7","Burak ćwikłowy"
"03221112-4","Marchew"
"03221113-1","Cebula"
"03221114-8","Rzepa"
"03221120-3","Warzywa bulwiaste"
"03221200-8","Warzywa owocowe"
"03221210-1","Fasola"
"03221211-8","Bób"
"03221212-5","Fasola szparagowa"
"03221213-2","Fasola wielokwiatowa"
"03221220-4","Groch"
"03221221-1","Groch ozdobny"
"03221222-8","Burak pastewny"
"03221230-7","Papryka"
"03221240-0","Pomidory"
"03221250-3","Cukinia"
"03221260-6","Grzyby"
"03221270-9","Ogórki"
"03221300-9","Warzywa liściaste"
"03221310-2","Sałata"
"03221320-5","Sałata liściasta"
"03221330-8","Karczochy"
"03221340-1","Szpinak"
"03221400-0","Warzywa kapustne"
"03221410-3","Kapusta"
"03221420-6","Kalafior"
"03221430-9","Brokuły"
"03221440-2","Kapusta brukselska"
"03222000-3","Owoce i orzechy"
"03222100-4","Owoce i orzechy tropikalne"
"03222110-7","Owoce tropikalne"
"03222111-4","Banany"
"03222112-1","Ananasy"
"03222113-8","Mango"
"03222114-5","Daktyle"
"03222115-2","Rodzynki"
"03222116-9","Figi"
"03222117-6","Awokado"
"03222118-3","Owoce kiwi"
"03222120-0","Orzechy kokosowe"
"03222200-5","Owoce cytrusowe"
"03222210-8","Cytryny"
"03222220-1","Pomarańcze"
"03222230-4","Grejpfruty"
"03222240-7","Mandarynki"
"03222250-0","Limonki"
"03222300-6","Owoce inne niż tropikalne"
"03222310-9","Owoc jagody"
"03222311-6","Porzeczki"
"03222312-3","Agrest"
"03222313-0","Truskawki"
"03222314-7","Maliny"
"03222315-4","Żurawina błotna"
"03222320-2","Jabłka, gruszki i pigwy"
"03222321-9","Jabłka"
"03222322-6","Gruszki"
"03222323-3","Pigwy"
"03222330-5","Owoce pestkowe"
"03222331-2","Morele"
"03222332-9","Brzoskwinie"
"03222333-6","Wiśnie"
"03222334-3","Śliwki"
"03222340-8","Winogrona"
"03222341-5","Winogrona stołowe"
"03222342-2","Winogrona do produkcji win"
"03222400-7","Oliwki"
"03300000-2","Produkty hodowli, łowiectwa i rybołówstwa"
"03310000-5","Ryby, skorupiaki i produkty wodne"
"03311000-2","Ryby"
"03311100-3","Płastuga"
"03311110-6","Sola"
"03311120-9","Gładzica"
"03311200-4","Ryby dorszowate"
"03311210-7","Dorsz"
"03311220-0","Czarniak"
"03311230-3","Morszczuk"
"03311240-6","Plamiak"
"03311300-5","Śledź"
"03311400-6","Tuńczyk"
"03311500-7","Witlinek"
"03311600-8","Pielęgnicowate"
"03311700-9","Łosoś"
"03312000-9","Skorupiaki"
"03312100-0","Ostrygi"
"03312200-1","Mięczaki"
"03312300-2","Wodne bezkręgowce"
"03313000-6","Produkty wodne"
"03313100-7","Korale lub produkty podobne"
"03313200-8","Gąbki naturalne"
"03313300-9","Wodorosty"
"03313310-2","Algi"
"03320000-8","Bydło, zwierzęta gospodarskie i małe zwierzęta"
"03321000-5","Bydło"
"03321100-6","Bydło wołowe"
"03321200-7","Cielęta"
"03322000-2","Zwierzęta gospodarskie"
"03322100-3","Owce"
"03322200-4","Kozy"
"03322300-5","Konie"
"03323000-9","Świnie"
"03324000-6","Drób żywy"
"03325000-3","Małe zwierzęta"
"03325100-4","Króliki"
"03325200-5","Zające"
"03330000-3","Produkty zwierząt hodowlanych"
"03331000-0","Świeże mleko owiec i kóz"
"03331100-1","Kostrzewa owcza"
"03331200-2","Mleko kozie"
"03332000-7","Wełna i sierść zwierzęca"
"03332100-8","Wełna zgrzebna"
"03332200-9","Sierść zwierzęca"
"03333000-4","Świeże mleko krowie"
"03340000-6","Zawieszki do kolczykowania zwierząt"
"03341000-3","Zawieszki do kolczykowania bydła"
"03400000-4","Leśnictwo i pozyskiwanie drewna"
"03410000-7","Drewno"
"03411000-4","Drewno drzew iglastych"
"03412000-1","Drewno z drzew tropikalnych"
"03413000-8","Drewno opałowe"
"03414000-5","Drewno surowe"
"03415000-2","Drewno miękkie"
"03416000-9","Odpady drzewne"
"03417000-6","Wióry drzewne"
"03417100-7","Trociny"
"03418000-3","Dłużyce"
"03418100-4","Drewno twarde"
"03419000-0","Drewno cięte"
"03419100-1","Produkty z drewna ciętego"
"03419200-2","Drewno kopalniane"
"03420000-0","Kauczuk"
"03421000-7","Żywice"
"03422000-4","Laka"
"03430000-3","Korek"
"03431000-0","Korek naturalny"
"03432000-7","Wyroby koszykarskie"
"03432100-8","Wyroby wikliniarskie"
"03440000-6","Produkty leśnictwa"
"03441000-3","Rośliny ozdobne, trawy, mchy lub porosty"
"03450000-9","Produkty szkółek leśnych"
"03451000-6","Rośliny"
"03451100-7","Rośliny na ściółkę"
"03451200-8","Cebulki kwiatowe"
"03451300-9","Krzewy"
"03452000-3","Drzewa"
"03460000-2","Masa papiernicza"
"03461000-9","Ścier drzewny"
"03461100-0","Chemiczny ścier drzewny"
"09000000-3","Produkty naftowe, paliwo, energia elektryczna i inne źródła energii"
"09100000-0","Paliwa"
"09110000-3","Paliwa stałe"
"09111000-0","Węgiel i paliwa na bazie węgla"
"09111100-1","Węgiel (minerał)"
"09111200-2","Paliwa na bazie węgla"
"09111210-5","Węgiel kamienny"
"09111220-8","Brykiety"
"09111300-3","Paliwa kopalne"
"09111400-4","Paliwa drzewne"
"09112000-7","Węgiel brunatny i torf"
"09112100-8","Węgiel brunatny"
"09112200-9","Torf"
"09113000-4","Koks"
"09120000-6","Paliwa gazowe"
"09121000-3","Gaz węglowy, gaz zasilający/sieciowy lub podobne gazy"
"09121100-4","Gaz węglowy lub podobne gazy"
"09121200-5","Gaz zasilający"
"09122000-0","Propan i butan"
"09122100-1","Propan"
"09122110-4","Propan skroplony"
"09122200-2","Butan"
"09122210-5","Butan skroplony"
"09123000-7","Gaz ziemny"
"09130000-9","Ropa naftowa i destylaty"
"09131000-6","Nafta lotnicza"
"09131100-7","Naftowe paliwa lotnicze"
"09132000-3","Benzyna"
"09132100-4","Benzyna bezołowiowa"
"09132200-5","Benzyna ołowiowa"
"09132300-6","Benzyna z etanolem"
"09133000-0","Skroplony gaz ropopochodny (LPG)"
"09134000-7","Oleje napędowe"
"09134100-8","Olej napędowy"
"09134200-9","Paliwo diesla"
"09134210-2","Paliwo do silników diesla (0,2)"
"09134220-5","Paliwo do silników diesla (EN 590)"
"09134230-8","Biodiesel"
"09134231-5","Biodiesel (B20)"
"09134232-2","Biodiesel (B100)"
"09135000-4","Oleje opałowe"
"09135100-5","Olej opałowy"
"09135110-8","Niskosiarkowe oleje palne"
"09200000-1","Ropa naftowa, węgiel i produkty naftowe"
"09210000-4","Preparaty smarowe"
"09211000-1","Oleje smarowe i środki smarowe"
"09211100-2","Oleje silnikowe"
"09211200-3","Oleje smarowe do sprężarek"
"09211300-4","Oleje smarowe do turbin"
"09211400-5","Oleje do kół zębatych"
"09211500-6","Reduktor ropy"
"09211600-7","Oleje do użytku w układach hydraulicznych i do innych celów"
"09211610-0","Płyny do celów hydraulicznych"
"09211620-3","Oleje smarowe wewnętrzne"
"09211630-6","Oleje przeciwkorozyjne"
"09211640-9","Oleje elektroizolacyjne"
"09211650-2","Płyny hamulcowe"
"09211700-8","Oleje białe i parafina ciekła"
"09211710-1","Oleje wazelinowe"
"09211720-4","Parafiny ciekłe"
"09211800-9","Oleje i preparaty z ropy naftowej"
"09211810-2","Oleje lekkie"
"09211820-5","Oleje z ropy naftowej"
"09211900-0","Oleje smarujące trakcyjne"
"09220000-7","Wazelina, woski i benzyny specjalne"
"09221000-4","Wazelina i woski"
"09221100-5","Wazelina"
"09221200-6","Parafina"
"09221300-7","Wosk"
"09221400-8","Pozostałości ropy naftowej"
"09222000-1","Spirytus absolutny"
"09222100-2","Benzyna lakiernicza"
"09230000-0","Ropa naftowa (surowa)"
"09240000-3","Produkty pochodne ropy i węgla"
"09241000-0","Łupki olejowe lub bitumiczne"
"09242000-7","Produkty pochodne węgla"
"09242100-8","Olej węglowy"
"09300000-2","Energia elektryczna, cieplna, słoneczna i jądrowa"
"09310000-5","Elektryczność"
"09320000-8","Para, gorąca woda i podobne produkty"
"09321000-5","Gorąca woda"
"09322000-2","Para"
"09323000-9","Węzeł cieplny lokalny"
"09324000-6","Węzeł cieplny dalekiego zasięgu"
"09330000-1","Energia słoneczna"
"09331000-8","Baterie słoneczne"
"09331100-9","Kolektory słoneczne do produkcji ciepła"
"09331200-0","Słoneczne moduły fotoelektryczne"
"09332000-5","Instalacje słoneczne"
"09340000-4","Paliwa jądrowe"
"09341000-1","Uran"
"09342000-8","Pluton"
"09343000-5","Materiały radioaktywne"
"09344000-2","Izotopy promieniotwórcze"
"14000000-1","Górnictwo, metale podstawowe i produkty pokrewne"
"14200000-3","Piasek i glina"
"14210000-6","Żwir, piasek, kamień kruszony i kruszywa"
"14211000-3","Piasek"
"14211100-4","Piasek naturalny"
"14212000-0","Granulaty, odłamki, kamień sproszkowany, otoczaki, żwir, kamień rozłupany oraz pokruszony, mieszanki kamienia, mieszanki piasku i żwiru oraz inne kruszywo"
"14212100-1","Otoczaki i żwir"
"14212110-4","Otoczaki"
"14212120-7","Żwir"
"14212200-2","Kruszywo"
"14212210-5","Mieszanka piasku i żwiru"
"14212300-3","Kamień pokruszony lub rozłupany"
"14212310-6","Podsypka"
"14212320-9","Granit kruszony"
"14212330-2","Bazalt kruszony"
"14212400-4","Gleby"
"14212410-7","Warstwa uprawna gleby"
"14212420-0","Podglebie"
"14212430-3","Odłamki kamienia"
"14213000-7","Makadam, smołobeton i piasek bitumiczny"
"14213100-8","Makadam"
"14213200-9","Smołobeton"
"14213300-0","Piaski smołowe"
"14220000-9","Glinki i kaolin"
"14221000-6","Glinki"
"14222000-3","Kaolin"
"14300000-4","Minerały chemiczne i minerały do produkcji nawozów"
"14310000-7","Minerały do produkcji nawozów"
"14311000-4","Wapń naturalny, wapniowy fosforan glinu oraz surowe naturalne sole potasowe"
"14311100-5","Wapń naturalny"
"14311200-6","Fosforany wapniowo-glinowe"
"14311300-7","Surowe sole potasowe"
"14312000-1","Piryty żelazowe"
"14312100-2","Piryty żelazowe niewyprażone"
"14320000-0","Minerały chemiczne"
"14400000-5","Sole i czysty chlorek sodu"
"14410000-8","Sól kamienna"
"14420000-1","Sól morska"
"14430000-4","Sól warzona i czysty chlorek sodu"
"14450000-0","Sól w solance"
"14500000-6","Podobne produkty wydobywcze i kopalne"
"14520000-2","Kamienie szlachetne i półszlachetne; pumeks; szmergiel; materiały ścierne naturalne; inne minerały i metale szlachetne"
"14521000-9","Kamienie szlachetne i półszlachetne"
"14521100-0","Kamienie szlachetne"
"14521140-2","Pył lub proszek z kamieni szlachetnych"
"14521200-1","Kamienie półszlachetne"
"14521210-4","Pył lub proszek z kamieni półszlachetnych"
"14522000-6","Diamenty przemysłowe, pumeks; szmergiel i inne materiały ścierne naturalne"
"14522100-7","Pumeks"
"14522200-8","Diamenty przemysłowe"
"14522300-9","Szmergiel"
"14522400-0","Materiały ścierne naturalne"
"14523000-3","Pokrewne minerały, metale szlachetne i produkty pochodne"
"14523100-4","Minerały"
"14523200-5","Złoto"
"14523300-6","Srebro"
"14523400-7","Platyna"
"14600000-7","Rudy i stopy metali"
"14610000-0","Rudy metali"
"14611000-7","Rudy żelaza"
"14612000-4","Rudy metali nieżelaznych"
"14612100-5","Rudy miedzi"
"14612200-6","Rudy niklu"
"14612300-7","Rudy glinu"
"14612400-8","Rudy metali szlachetnych"
"14612500-9","Rudy ołowiu"
"14612600-0","Rudy cynku"
"14612700-1","Rudy cyny"
"14613000-1","Rudy uranu i toru"
"14613100-2","Rudy uranu"
"14613200-3","Rudy toru"
"14614000-8","Różne rudy"
"14620000-3","Stopy"
"14621000-0","Żelazostopy"
"14621100-1","Inne niż z EWWiS"
"14621110-4","Żelazomangan"
"14621120-7","Żelazochrom"
"14621130-0","Żelazonikiel"
"14622000-7","Stal"
"14630000-6","Żużel, popioły, odpady żelaza i złom"
"14700000-8","Metale zwykłe"
"14710000-1","Żelazo, ołów, cynk, cyna i miedź"
"14711000-8","Żelazo"
"14711100-9","Surówka"
"14712000-5","Ołów"
"14713000-2","Cynk"
"14714000-9","Cyna"
"14715000-6","Miedź"
"14720000-4","Glin, nikiel, skand, tytan i wanad"
"14721000-1","Glin"
"14721100-2","Tlenek glinu"
"14722000-8","Nikiel"
"14723000-5","Skand"
"14724000-2","Tytan"
"14725000-9","Wanad"
"14730000-7","Chrom, mangan, kobalt, itr i cyrkon"
"14731000-4","Chrom"
"14732000-1","Mangan"
"14733000-8","Kobalt"
"14734000-5","Itr"
"14735000-2","Cyrkon"
"14740000-0","Molibden, technet, ruten i rod"
"14741000-7","Molibden"
"14742000-4","Technet"
"14743000-1","Ruten"
"14744000-8","Rod"
"14750000-3","Kadm, lutet, hafn, tantal i wolfram"
"14751000-0","Kadm"
"14752000-7","Lutet"
"14753000-4","Hafn"
"14754000-1","Tantal"
"14755000-8","Wolfram"
"14760000-6","Iryd, gal, ind, tal i bar"
"14761000-3","Iryd"
"14762000-0","Gal"
"14763000-7","Ind"
"14764000-4","Tal"
"14765000-1","Bar"
"14770000-9","Cez, stront, rubid i wapń"
"14771000-6","Cez"
"14772000-3","Stront"
"14773000-0","Rubid"
"14774000-7","Wapń"
"14780000-2","Potas, magnez, sód i lit"
"14781000-9","Potas"
"14782000-6","Magnez"
"14783000-3","Sód"
"14784000-0","Lit"
"14790000-5","Niob, osm, ren i pallad"
"14791000-2","Niob"
"14792000-9","Osm"
"14793000-6","Ren"
"14794000-3","Pallad"
"14800000-9","Różne niemetalowe produkty mineralne"
"14810000-2","Wyroby ścierne"
"14811000-9","Kamienie młyńskie, kamienie szlifierskie i ściernice"
"14811100-0","Kamienie młyńskie"
"14811200-1","Kamienie szlifierskie"
"14811300-2","Ściernice"
"14812000-6","Proszek lub ziarno ścierne"
"14813000-3","Korund sztuczny"
"14814000-0","Grafit sztuczny"
"14820000-5","Szkło"
"14830000-8","Włókno szklane"
"14900000-0","Odzyskane surowce wtórne"
"14910000-3","Odzyskane surowce wtórne z metalu"
"14930000-9","Pył i pozostałości zawierające metale"
"14920000-6","Odzyskane surowce wtórne niemetalowe"
"15000000-8","Żywność, napoje, tytoń i produkty pokrewne"
"15100000-9","Produkty zwierzęce, mięso i produkty mięsne"
"15110000-2","Mięso"
"15111000-9","Mięso wołowe"
"15111100-0","Wołowina"
"15111200-1","Cielęcina"
"15112000-6","Drób"
"15112100-7","Świeży drób"
"15112110-0","Gęsi"
"15112120-3","Indyki"
"15112130-6","Kurczęta"
"15112140-9","Kaczki"
"15112300-9","Wątróbki drobiowe"
"15112310-2","Foie gras"
"15113000-3","Wieprzowina"
"15114000-0","Podroby"
"15115000-7","Jagnięcina i mięso owiec mięsnych"
"15115100-8","Jagnięcina"
"15115200-9","Owce mięsne"
"15117000-1","Mięso kozie"
"15118000-8","Mięso z koni, osłów, mułów lub osłomułów"
"15118100-9","Mięso końskie"
"15118900-7","Mięso z osłów, mułów lub osłomułów"
"15119000-5","Mięsa różne"
"15119100-6","Mięso królicze"
"15119200-7","Mięso z zajęcy"
"15119300-8","Dziczyzna"
"15119400-9","Żabie udka"
"15119500-0","Gołębie"
"15119600-1","Mięso z ryb"
"15130000-8","Produkty mięsne"
"15131000-5","Konserwy i przetwory z mięsa"
"15131100-6","Produkty mięsno-wędliniarskie"
"15131110-9","Mięso na wędliny"
"15131120-2","Produkty wędliniarskie"
"15131130-5","Wędliny"
"15131134-3","Kaszanka i inne wędliny krwiste"
"15131135-0","Wędliny drobiowe"
"15131200-7","Mięso suszone, solone, wędzone lub marynowane"
"15131210-0","Szynka wędzona"
"15131220-3","Bekon"
"15131230-6","Salami"
"15131300-8","Konserwy wątrobiane"
"15131310-1","Pasztety"
"15131320-4","Przetwory z wątróbek gęsich lub kaczych"
"15131400-9","Produkty wieprzowe"
"15131410-2","Szynka"
"15131420-5","Pulpety mięsne"
"15131490-6","Gotowe dania wieprzowe"
"15131500-0","Produkty drobiowe"
"15131600-1","Produkty wołowe i cielęce"
"15131610-4","Pulpety wołowe"
"15131620-7","Wołowina mielona"
"15131640-3","Siekane mięso wołowe"
"15131700-2","Przetwory mięsne"
"15200000-0","Ryby przetworzone i konserwowane"
"15210000-3","Filety rybne, wątróbki rybne i ikra"
"15211000-0","Filety rybne"
"15211100-1","Świeże filety rybne"
"15212000-7","Ikra ryb"
"15213000-4","Wątróbki rybne"
"15220000-6","Ryby mrożone, filety rybne i pozostałe mięso ryb"
"15221000-3","Ryby mrożone"
"15229000-9","Mrożone produkty rybne"
"15230000-9","Ryby suszone lub solone; ryby w solance; ryby wędzone"
"15231000-6","Ryby suszone"
"15232000-3","Ryby solone"
"15233000-0","Ryby w solance"
"15234000-7","Ryby wędzone"
"15235000-4","Ryby konserwowane"
"15240000-2","Ryby puszkowane i pozostałe ryby konserwowane lub przetworzone"
"15241000-9","Ryby w folii lub puszkowane"
"15241100-0","Łosoś puszkowany"
"15241200-1","Śledź przetworzony lub konserwowany"
"15241300-2","Sardynki"
"15241400-3","Tuńczyk puszkowany"
"15241500-4","Makrela"
"15241600-5","Sardele"
"15241700-6","Paluszki rybne"
"15241800-7","Przetwory rybne w folii"
"15242000-6","Gotowe dania rybne"
"15243000-3","Przetwory z ryb"
"15244000-0","Kawior i ikra rybia"
"15244100-1","Kawior"
"15244200-2","Ikra rybia"
"15250000-5","Owoce morza"
"15251000-2","Mrożone skorupiaki"
"15252000-9","Skorupiaki przetworzone lub konserwowane"
"15253000-6","Produkty ze skorupiaków"
"15300000-1","Owoce, warzywa i podobne produkty"
"15310000-4","Ziemniaki i produkty z ziemniaków"
"15311000-1","Ziemniaki mrożone"
"15311100-2","Chipsy i frytki"
"15311200-3","Ziemniaki, krojone lub w plastrach oraz pozostałe ziemniaki mrożone"
"15312000-8","Produkty ziemniaczane"
"15312100-9","Ziemniaki tłuczone preparowane"
"15312200-0","Częściowo smażone chipsy ziemniaczane"
"15312300-1","Chipsy ziemniaczane"
"15312310-4","Chipsy ziemniaczane z dodatkiem substancji smakowych"
"15312400-2","Przekąski ziemniaczane"
"15312500-3","Krokiety ziemniaczane"
"15313000-5","Ziemniaki przetworzone"
"15320000-7","Soki owocowe i warzywne"
"15321000-4","Soki owocowe"
"15321100-5","Sok pomarańczowy"
"15321200-6","Sok grejpfrutowy"
"15321300-7","Sok z cytryny"
"15321400-8","Sok ananasowy"
"15321500-9","Sok winogronowy"
"15321600-0","Sok jabłkowy"
"15321700-1","Mieszanki soków nieskoncentrowanych"
"15321800-2","Soki skoncentrowane"
"15322000-1","Soki warzywne"
"15322100-2","Sok pomidorowy"
"15330000-0","Przetworzone owoce i warzywa"
"15331000-7","Warzywa przetworzone"
"15331100-8","Warzywa świeże lub mrożone"
"15331110-1","Przetworzone warzywa korzeniowe"
"15331120-4","Przetworzone warzywa bulwiaste"
"15331130-7","Fasola, groch, papryki, pomidory i pozostałe warzywa"
"15331131-4","Fasola przetworzona"
"15331132-1","Groch przetworzony"
"15331133-8","Groch dzielony"
"15331134-5","Pomidory przetworzone"
"15331135-2","Grzyby przetworzone"
"15331136-9","Papryki przetworzone"
"15331137-6","Kiełki sojowe"
"15331138-3","Trufle"
"15331140-0","Warzywa liściaste i kapustne"
"15331142-4","Kapusta przetworzona"
"15331150-3","Przetworzone jadalne części warzyw strączkowych"
"15331170-9","Warzywa mrożone"
"15331400-1","Warzywa konserwowane i/lub puszkowane"
"15331410-4","Fasola w sosie pomidorowym"
"15331411-1","Fasola pieczona"
"15331420-7","Pomidory konserwowane"
"15331423-8","Pomidory puszkowane"
"15331425-2","Przecier pomidorowy"
"15331427-6","Skoncentrowany przecier pomidorowy"
"15331428-3","Sos pomidorowy"
"15331430-0","Grzyby puszkowane"
"15331450-6","Oliwki przetworzone"
"15331460-9","Warzywa puszkowane"
"15331461-6","Kapusta kiszona puszkowana"
"15331462-3","Groch puszkowany"
"15331463-0","Puszkowana fasola nieobrana"
"15331464-7","Puszkowana cała fasola"
"15331465-4","Puszkowany szparag lekarski"
"15331466-1","Oliwki puszkowane"
"15331470-2","Kukurydza słodka"
"15331480-5","Warzywa tymczasowo zakonserwowane"
"15331500-2","Warzywa konserwowane w occie"
"15332000-4","Przetworzone owoce i orzechy"
"15332100-5","Przetworzone owoce"
"15332140-7","Przetworzone jabłka"
"15332150-0","Przetworzone gruszki"
"15332160-3","Przetworzone banany"
"15332170-6","Szczaw alpejski"
"15332180-9","Melony"
"15332200-6","Dżemy i marmolady, galaretki owocowe, przeciery z owoców i orzechów oraz pasty do smarowania"
"15332230-5","Marmolady"
"15332231-2","Marmolada pomarańczowa"
"15332232-9","Marmolada cytrynowa"
"15332240-8","Galaretki owocowe"
"15332250-1","Pasty owocowe do smarowania"
"15332260-4","Pasty orzechowe do smarowania"
"15332261-1","Masło orzechowe"
"15332270-7","Przeciery owocowe"
"15332290-3","Dżemy"
"15332291-0","Dżem morelowy"
"15332292-7","Dżem jeżynowy"
"15332293-4","Dżem z czarnej porzeczki"
"15332294-1","Dżem wiśniowy"
"15332295-8","Dżem malinowy"
"15332296-5","Dżem truskawkowy"
"15332300-7","Przetworzone orzechy"
"15332310-0","Orzechy palone lub solone"
"15332400-8","Owoce konserwowane"
"15332410-1","Owoce suszone"
"15332411-8","Przetworzone porzeczki"
"15332412-5","Przetworzone rodzynki"
"15332419-4","Sułtanki"
"15333000-1","Warzywne produkty uboczne"
"15400000-2","Oleje i tłuszcze zwierzęce lub roślinne"
"15410000-5","Surowe oleje i tłuszcze zwierzęce lub roślinne"
"15411000-2","Oleje zwierzęce lub roślinne"
"15411100-3","Olej roślinny"
"15411110-6","Oliwa z oliwek"
"15411120-9","Olej sezamowy"
"15411130-2","Olej z orzechów ziemnych"
"15411140-5","Olej kokosowy"
"15411200-4","Olej spożywczy"
"15411210-7","Olej do smażenia"
"15412000-9","Tłuszcze"
"15412100-0","Tłuszcze zwierzęce"
"15412200-1","Tłuszcze roślinne"
"15413000-6","Pozostałości stałe z tłuszczów lub olejów roślinnych"
"15413100-7","Makuchy"
"15420000-8","Rafinowane oleje i tłuszcze"
"15421000-5","Oleje rafinowane"
"15422000-2","Tłuszcze rafinowane"
"15423000-9","Oleje lub tłuszcze uwodornione lub estryfikowane"
"15424000-6","Woski roślinne"
"15430000-1","Tłuszcze jadalne"
"15431000-8","Margaryna i podobne produkty"
"15431100-9","Margaryna"
"15431110-2","Płynna margaryna"
"15431200-0","Beztłuszczowe lub niskotłuszczowe produkty do smarowania"
"15500000-3","Produkty mleczarskie"
"15510000-6","Mleko i śmietana"
"15511000-3","Mleko"
"15511100-4","Mleko pasteryzowane"
"15511200-5","Mleko sterylizowane"
"15511210-8","Mleko UHT"
"15511300-6","Mleko odtłuszczone"
"15511400-7","Mleko półtłuste"
"15511500-8","Mleko pełnotłuste"
"15511600-9","Mleko skondensowane"
"15511700-0","Mleko w proszku"
"15512000-0","Śmietana"
"15512100-1","Śmietana chuda"
"15512200-2","Śmietana tłusta"
"15512300-3","Śmietana pełnotłusta"
"15512900-9","Bita śmietana"
"15530000-2","Masło"
"15540000-5","Produkty serowarskie"
"15541000-2","Ser stołowy"
"15542000-9","Ser świeży"
"15542100-0","Ser twarogowy"
"15542200-1","Ser miękki"
"15542300-2","Ser feta"
"15543000-6","Sery scalone, sproszkowane, z przerostami pleśni i pozostałe sery"
"15543100-7","Ser z przerostami pleśni"
"15543200-8","Ser cheddar"
"15543300-9","Ser scalony"
"15543400-0","Ser parmezan"
"15544000-3","Ser twardy"
"15545000-0","Pasty serowe do smarowania"
"15550000-8","Klasyfikowane produkty mleczarskie"
"15551000-5","Jogurt i pozostałe przefermentowane przetwory mleczne"
"15551300-8","Jogurt"
"15551310-1","Jogurt bez dodatków substancji smakowych"
"15551320-4","Jogurt z dodatkiem substancji smakowych"
"15551500-0","Maślanka"
"15552000-2","Kazeina"
"15553000-9","Laktoza lub syrop laktozowy"
"15554000-6","Ser watka"
"15555000-3","Lody i produkty podobne"
"15555100-4","Lody"
"15555200-5","Sorbety"
"15600000-4","Produkty przemiału ziarna, skrobi i produktów skrobiowych"
"15610000-7","Produkty przemiału ziarna"
"15611000-4","Ryż łuskany"
"15612000-1","Mąka zbożowa lub roślinna i podobne produkty"
"15612100-2","Mąka pszenna"
